,Volleys,SlidingTackle,Reactions,Strength,Vision,GKDiving,Aggression,ShortPassing,GKHandling,GKKicking,Stamina,Curve,Dribbling,LongShots,Agility,StandingTackle,Balance,Marking,BallControl,Composure,LongPassing,SprintSpeed,Name,HeadingAccuracy,Penalties,Overall,Jumping,Finishing,Positioning,Crossing,Interceptions,GKPositioning,Acceleration,GKReflexes,Age,ShotPower
0,86.0,26.0,95.0,59.0,94.0,6.0,48.0,90.0,11.0,15.0,72.0,93.0,97.0,94.0,91.0,28.0,95.0,33.0,96.0,96.0,87.0,86.0,L. Messi,70.0,75.0,94,68.0,95.0,94.0,84.0,22.0,14.0,91.0,8.0,31,85.0
1,87.0,23.0,96.0,79.0,82.0,7.0,63.0,81.0,11.0,15.0,88.0,81.0,88.0,93.0,87.0,31.0,70.0,28.0,94.0,95.0,77.0,91.0,Cristiano Ronaldo,89.0,85.0,94,95.0,94.0,95.0,84.0,29.0,14.0,89.0,11.0,33,95.0
2,84.0,33.0,94.0,49.0,87.0,9.0,56.0,84.0,9.0,15.0,81.0,88.0,96.0,82.0,96.0,24.0,84.0,27.0,95.0,94.0,78.0,90.0,Neymar Jr,62.0,81.0,92,61.0,87.0,89.0,79.0,36.0,15.0,94.0,11.0,26,80.0
3,13.0,13.0,90.0,64.0,68.0,90.0,38.0,50.0,85.0,87.0,43.0,21.0,18.0,12.0,60.0,21.0,43.0,15.0,42.0,68.0,51.0,58.0,De Gea,21.0,40.0,91,67.0,13.0,12.0,17.0,30.0,88.0,57.0,94.0,27,31.0
4,82.0,51.0,91.0,75.0,94.0,15.0,76.0,92.0,13.0,5.0,90.0,85.0,86.0,91.0,79.0,58.0,77.0,68.0,91.0,88.0,91.0,76.0,K. De Bruyne,55.0,79.0,91,63.0,82.0,87.0,93.0,61.0,10.0,78.0,13.0,27,91.0
5,80.0,22.0,90.0,66.0,89.0,11.0,54.0,89.0,12.0,6.0,83.0,83.0,95.0,80.0,95.0,27.0,94.0,34.0,94.0,91.0,83.0,88.0,E. Hazard,61.0,86.0,91,56.0,84.0,87.0,81.0,41.0,8.0,94.0,8.0,27,82.0
6,76.0,73.0,90.0,58.0,92.0,13.0,62.0,93.0,9.0,7.0,89.0,85.0,90.0,82.0,93.0,76.0,94.0,60.0,93.0,84.0,88.0,72.0,L. Modrić,55.0,82.0,91,68.0,72.0,79.0,86.0,83.0,14.0,80.0,9.0,32,79.0
7,88.0,38.0,92.0,83.0,84.0,27.0,87.0,82.0,25.0,31.0,90.0,86.0,87.0,85.0,82.0,45.0,83.0,62.0,90.0,85.0,64.0,75.0,L. Suárez,77.0,85.0,91,69.0,93.0,92.0,77.0,41.0,33.0,86.0,37.0,31,86.0
8,66.0,91.0,85.0,83.0,63.0,11.0,88.0,78.0,8.0,9.0,84.0,74.0,63.0,59.0,78.0,92.0,66.0,87.0,84.0,82.0,77.0,75.0,Sergio Ramos,91.0,75.0,91,93.0,60.0,60.0,66.0,90.0,7.0,76.0,11.0,32,79.0
9,13.0,18.0,86.0,78.0,70.0,86.0,34.0,29.0,92.0,78.0,41.0,13.0,12.0,12.0,67.0,12.0,49.0,27.0,16.0,70.0,26.0,60.0,J. Oblak,15.0,11.0,90,76.0,11.0,11.0,13.0,19.0,88.0,43.0,89.0,25,22.0
10,89.0,19.0,90.0,84.0,77.0,15.0,80.0,83.0,6.0,12.0,78.0,77.0,85.0,84.0,78.0,42.0,78.0,34.0,89.0,86.0,65.0,78.0,R. Lewandowski,85.0,88.0,90,84.0,91.0,91.0,62.0,39.0,8.0,77.0,10.0,29,88.0
11,82.0,69.0,89.0,73.0,86.0,10.0,60.0,92.0,11.0,13.0,75.0,86.0,81.0,92.0,70.0,79.0,71.0,72.0,90.0,85.0,93.0,62.0,T. Kroos,54.0,73.0,90,30.0,76.0,79.0,88.0,82.0,7.0,64.0,10.0,28,87.0
12,47.0,89.0,85.0,88.0,52.0,6.0,89.0,79.0,8.0,15.0,66.0,49.0,53.0,43.0,58.0,89.0,54.0,90.0,76.0,82.0,70.0,68.0,D. Godín,92.0,50.0,90,91.0,42.0,48.0,55.0,88.0,5.0,68.0,15.0,32,67.0
13,82.0,29.0,90.0,52.0,92.0,6.0,57.0,93.0,15.0,7.0,78.0,82.0,89.0,75.0,92.0,53.0,90.0,59.0,94.0,93.0,87.0,64.0,David Silva,54.0,75.0,90,64.0,76.0,89.0,84.0,50.0,6.0,70.0,12.0,32,72.0
14,56.0,85.0,93.0,76.0,79.0,15.0,90.0,86.0,12.0,10.0,96.0,49.0,79.0,69.0,82.0,91.0,92.0,90.0,80.0,85.0,81.0,78.0,N. Kanté,54.0,54.0,89,77.0,65.0,71.0,68.0,92.0,7.0,82.0,10.0,27,71.0
15,88.0,20.0,86.0,65.0,87.0,5.0,48.0,87.0,4.0,4.0,80.0,88.0,92.0,88.0,91.0,20.0,85.0,23.0,92.0,84.0,75.0,83.0,P. Dybala,68.0,86.0,89,75.0,84.0,84.0,82.0,32.0,5.0,87.0,8.0,24,82.0
16,84.0,38.0,91.0,84.0,80.0,8.0,76.0,80.0,10.0,11.0,89.0,78.0,80.0,85.0,71.0,36.0,71.0,56.0,84.0,89.0,82.0,72.0,H. Kane,85.0,90.0,89,78.0,94.0,93.0,75.0,35.0,14.0,68.0,11.0,24,88.0
17,87.0,48.0,90.0,62.0,83.0,14.0,69.0,83.0,8.0,14.0,83.0,84.0,88.0,82.0,90.0,47.0,80.0,59.0,90.0,87.0,76.0,85.0,A. Griezmann,84.0,79.0,89,90.0,90.0,91.0,82.0,35.0,13.0,88.0,14.0,27,80.0
18,14.0,10.0,85.0,79.0,69.0,87.0,43.0,36.0,85.0,88.0,35.0,18.0,17.0,10.0,37.0,13.0,43.0,25.0,18.0,69.0,42.0,50.0,M. ter Stegen,11.0,25.0,89,79.0,14.0,11.0,15.0,22.0,85.0,38.0,90.0,26,22.0
19,12.0,16.0,84.0,70.0,44.0,85.0,23.0,33.0,91.0,72.0,38.0,19.0,13.0,17.0,61.0,18.0,45.0,20.0,23.0,66.0,35.0,52.0,T. Courtois,13.0,27.0,89,68.0,14.0,13.0,14.0,15.0,86.0,46.0,88.0,26,36.0
20,44.0,80.0,87.0,77.0,87.0,5.0,85.0,89.0,8.0,13.0,86.0,66.0,80.0,54.0,66.0,86.0,52.0,90.0,88.0,90.0,82.0,52.0,Sergio Busquets,68.0,60.0,89,66.0,67.0,77.0,62.0,87.0,9.0,50.0,13.0,29,61.0
21,90.0,39.0,91.0,78.0,77.0,12.0,84.0,78.0,5.0,13.0,92.0,77.0,80.0,79.0,77.0,45.0,59.0,52.0,82.0,82.0,52.0,76.0,E. Cavani,89.0,85.0,89,88.0,89.0,93.0,70.0,48.0,13.0,75.0,10.0,31,87.0
22,11.0,11.0,84.0,80.0,70.0,90.0,29.0,55.0,86.0,91.0,43.0,14.0,30.0,16.0,51.0,10.0,35.0,17.0,48.0,70.0,59.0,60.0,M. Neuer,25.0,47.0,89,77.0,13.0,12.0,15.0,30.0,87.0,54.0,87.0,32,25.0
23,85.0,12.0,90.0,73.0,83.0,13.0,65.0,81.0,15.0,6.0,76.0,82.0,89.0,83.0,86.0,20.0,91.0,30.0,89.0,90.0,64.0,80.0,S. Agüero,77.0,83.0,89,81.0,93.0,92.0,70.0,24.0,11.0,88.0,14.0,30,88.0
24,45.0,90.0,82.0,89.0,50.0,3.0,92.0,59.0,3.0,2.0,65.0,60.0,58.0,49.0,54.0,93.0,55.0,93.0,57.0,84.0,59.0,75.0,G. Chiellini,83.0,50.0,89,89.0,33.0,28.0,58.0,88.0,4.0,63.0,3.0,33,78.0
25,78.0,32.0,87.0,71.0,82.0,13.0,62.0,82.0,5.0,7.0,83.0,77.0,90.0,78.0,92.0,34.0,83.0,34.0,91.0,86.0,73.0,96.0,K. Mbappé,77.0,70.0,88,75.0,88.0,88.0,77.0,38.0,11.0,96.0,6.0,19,79.0
